"","id","screen_name","replies_out","account_age","statuses","replies_in","created_at","trstrank","followers_count","statuses_count","friends_count","follower_rank","tweet.hash"
"1",100394466,"AnalysisFact",1,91,121,1,"2009-12-30 03:42:59",1.14322,334,121,5,4.2017030805426,0
"2",101496282,"algoriffic",2,68,25,1,"2010-01-03 15:10:27",0.177047,43,25,106,-0.902238978418505,0
"3",10239,"nikete",123,1251,1168,60,"2006-10-24 05:23:34",3.7039,520,1168,227,0.82887879409407,0
"4",109958517,"AlgebraFact",0,60,71,2,"2010-01-30 21:11:41",1.02307,329,71,5,4.18661983833127,0
"5",11069462,"OReillyMedia",179,841,5141,206,"2007-12-12 00:27:43",5.63226,15078,5141,5417,1.02369457111375,0
"6",110809853,"johnwemerson",0,52,17,1,"2010-02-02 21:14:24",0.44738,19,17,21,-0.100083458556983,0
"7",1113541,"bruces",0,1115,1979,384,"2007-03-13 20:29:08",5.70252,7944,1979,470,2.82743951102090,0
"8",11388132,"lessig",158,833,734,467,"2007-12-20 23:22:10",6.36081,35847,734,57,6.44396389268331,0
"9",113963,"Werner",1048,1196,3038,881,"2006-12-21 15:12:02",5.72727,11622,3038,97,4.78594415413167,0
"10",114485232,"lintool",5,41,60,8,"2010-02-15 15:37:56",1.36798,409,60,37,2.40279724339858,0
"11",11518572,"chrisalbon",102,824,6233,363,"2007-12-26 01:49:09",3.29089,947,6233,338,1.03025319770306,0
"12",115485051,"ConanOBrien",0,42,44,5671,"2010-02-18 20:17:16",7.03526,761923,44,1,13.5436007796941,0
"13",11595422,"DataJunkie",364,824,4243,357,"2007-12-28 08:33:34",2.89201,656,4243,312,0.743157601134607,0
"14",11669522,"turian",6,820,294,14,"2007-12-30 22:19:00",2.50969,285,294,425,-0.399599988655766,0
"15",11725142,"howardjp",27,818,2081,37,"2008-01-01 19:01:12",1.63686,170,2081,53,1.16550652349814,1
"16",11778092,"cwhelan",16,811,119,4,"2008-01-02 23:58:12",0.90204,46,119,49,-0.0631789016215316,0
"17",1228281,"StephenColbert",0,1113,68,859,"2007-03-15 15:13:49",8.31883,385780,68,59,8.78548509387251,0
"18",1248421,"pbrane",15,1106,165,7,"2007-03-15 21:20:23",2.54246,128,165,69,0.617923759322358,0
"19",12763022,"melly_g",11,794,537,8,"2008-01-27 22:33:16",1.19736,52,537,91,-0.559615787935423,0
"20",12876,"edd",252,1230,2347,253,"2006-11-17 18:35:59",4.07319,1168,2347,212,1.70646188871616,0
"21",12984202,"mikeloukides",141,787,1803,107,"2008-02-02 17:01:22",3.83546,636,1803,163,1.36144836253336,0
"22",13299972,"infoarbitrage",629,780,3499,617,"2008-02-10 02:48:51",4.89764,3987,3499,176,3.12031035234320,0
"23",13598712,"schartkoff",121,751,390,25,"2008-02-17 22:08:01",2.28732,220,390,255,-0.147635998806065,1
"24",14075928,"TheOnion",72,758,4339,2226,"2008-03-04 02:48:37",8.89051,2204441,4339,486786,1.51040463954565,0
"25",14109167,"flowingdata",883,753,3163,827,"2008-03-09 20:07:38",4.87768,7440,3163,291,3.24130286065565,0
"26",14139432,"statpumpkin",25,745,380,17,"2008-03-13 13:41:12",2.07704,231,380,163,0.348667509715031,0
"27",14147963,"talgalili",27,745,2912,109,"2008-03-14 17:13:07",2.26291,521,2912,164,1.15588361392917,1
"28",14174897,"analyticbridge",2,743,2979,2,"2008-03-19 05:26:29",2.87733,1228,2979,1655,-0.298414179104075,0
"29",14262367,"Capbri",175,717,1371,45,"2008-03-31 01:06:19",1.21521,95,1371,137,-0.366104034227584,1
"30",14278962,"nealrichter",203,729,2030,258,"2008-04-01 23:26:06",2.6925,506,2030,285,0.574047489018815,0
"31",14313383,"fonnesbeck",13,703,1467,46,"2008-04-06 00:53:43",1.58119,91,1467,91,0,0
"32",14324345,"diegovalle",0,720,44,1,"2008-04-07 16:17:48",0.60641,21,44,12,0.559615787935423,0
"33",14344469,"peteskomoroch",101,721,1988,187,"2008-04-09 19:05:55",3.58201,1183,1988,510,0.841398138260015,0
"34",14354152,"jadler",0,689,5,0,"2008-04-10 19:10:08",0.418058,13,5,9,0.367724780125317,0
